,noPhylo,duplicate_Data.point.code,noBioclim,Sorting.code,Citation,Study.Codes,Data.point.code,Scientific.Name,Common.Name.2,Nativity,Authority,sp_code,variety,Subspecies,Species,Genus,plant.form,Subfamily,Family,Order,Subclass,Class,Subdivision,Division,Superdivision,Subkingdom,Kingdom,Plant.type,Clade,Latitude.2,Longitude.2,lat,long,State..Territory..or.Region,Country,Continent,elev,Source.for.elevation.data,streamOrder,streamOrder2,Land.use,durationD,durationDD2,X..sampling.dates,mesh.size.category,t50d,kd,n,estimated.k.,equation.used,minC,maxC,rangeC,meanC,estimated.mean.,tidyNameOrig,tidiedName,newName,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
1899,FALSE,TRUE,FALSE,2160,"Bergfur et al. 2007 FAL, FWB",,JJFS478,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.68,18.68,59.68,18.68,South-Central,Sweden,Europe,10,Reported value,4,4,,55,83,,fine,135.91,0.0051,3,no,exponential,,,,1.5,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,59,65,23,7302,210,-63,273,147,-1,158,-29,516,62,25,29,177,82,158,114
1900,FALSE,TRUE,FALSE,2161,"Bergfur et al. 2007 FAL, FWB",,JJFS479,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.8,17.61,59.8,17.61,South-Central,Sweden,Europe,4,Reported value,4,4,,55,63,,fine,91.2,0.0076,3,no,exponential,,,,1.1,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,59,70,24,7471,211,-71,282,145,-3,157,-34,553,70,27,30,197,87,187,113
1901,FALSE,TRUE,FALSE,2163,"Bergfur et al. 2007 FAL, FWB",,JJFS481,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.74,18.49,59.74,18.49,South-Central,Sweden,Europe,12,Reported value,5,5,,55,74,,fine,108.3,0.0064,3,no,exponential,,,,1.3,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,61,66,24,7366,213,-61,274,149,1,160,-28,531,65,26,30,186,84,170,114
1902,FALSE,TRUE,FALSE,2165,"Bergfur et al. 2007 FAL, FWB",E,JJFS465,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.72,14.78,59.72,14.78,South-Central,Sweden,Europe,134,Reported value,5,5,,118,201,,coarse,50.59,0.0137,3,no,exponential,,,,1.7,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,49,84,27,7464,213,-88,301,135,-11,148,-44,701,83,35,27,238,115,225,144
1903,FALSE,TRUE,FALSE,2166,"Bergfur et al. 2007 FAL, FWB",E,JJFS466,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.63,15.43,59.63,15.43,South-Central,Sweden,Europe,84,Reported value,5,5,,118,133,,coarse,93.67,0.0074,3,no,exponential,,,,1.1,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,57,83,27,7419,221,-79,300,142,-3,156,-35,656,77,33,27,224,107,210,135
1904,FALSE,TRUE,FALSE,2168,"Bergfur et al. 2007 FAL, FWB",E,JJFS468,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,60.35,17.7,60.35,17.7,South-Central,Sweden,Europe,28,Reported value,4,4,,118,139,,coarse,63.59,0.0109,3,no,exponential,,,,1.2,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,52,74,25,7719,209,-85,294,141,-10,154,-45,583,75,30,29,206,96,188,124
1905,FALSE,TRUE,FALSE,2169,"Bergfur et al. 2007 FAL, FWB",E,JJFS469,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.68,18.68,59.68,18.68,South-Central,Sweden,Europe,10,Reported value,4,4,,118,179,,coarse,36.67,0.0189,3,no,exponential,,,,1.5,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,59,65,23,7302,210,-63,273,147,-1,158,-29,516,62,25,29,177,82,158,114
1906,FALSE,TRUE,FALSE,2172,"Bergfur et al. 2007 FAL, FWB",E,JJFS472,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.74,18.49,59.74,18.49,South-Central,Sweden,Europe,12,Reported value,5,5,,118,159,,coarse,15.2,0.0456,3,no,exponential,,,,1.3,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,61,66,24,7366,213,-61,274,149,1,160,-28,531,65,26,30,186,84,170,114
1907,FALSE,TRUE,FALSE,2174,"Bergfur et al. 2007 FAL, FWB",E,JJFS474,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.72,14.78,59.72,14.78,South-Central,Sweden,Europe,134,Reported value,5,5,,118,201,,fine,123.78,0.0056,3,no,exponential,,,,1.7,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,49,84,27,7464,213,-88,301,135,-11,148,-44,701,83,35,27,238,115,225,144
1908,FALSE,TRUE,FALSE,2175,"Bergfur et al. 2007 FAL, FWB",E,JJFS475,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.63,15.43,59.63,15.43,South-Central,Sweden,Europe,84,Reported value,5,5,,118,133,,fine,256.72,0.0027,3,no,exponential,,,,1.1,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,57,83,27,7419,221,-79,300,142,-3,156,-35,656,77,33,27,224,107,210,135
1909,FALSE,TRUE,FALSE,2177,"Bergfur et al. 2007 FAL, FWB",E,JJFS477,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,60.35,17.7,60.35,17.7,South-Central,Sweden,Europe,28,Reported value,4,4,,118,139,,fine,92.42,0.0075,3,no,exponential,,,,1.2,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,52,74,25,7719,209,-85,294,141,-10,154,-45,583,75,30,29,206,96,188,124
1910,FALSE,TRUE,FALSE,2178,"Bergfur et al. 2007 FAL, FWB",E,JJFS478,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.68,18.68,59.68,18.68,South-Central,Sweden,Europe,10,Reported value,4,4,,118,179,,fine,133.3,0.0052,3,no,exponential,,,,1.5,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,59,65,23,7302,210,-63,273,147,-1,158,-29,516,62,25,29,177,82,158,114
1911,FALSE,TRUE,FALSE,2181,"Bergfur et al. 2007 FAL, FWB",E,JJFS481,Alnus glutinosa,european alder,Europe,(L.) Gaertn.,glutinosa,,,glutinosa,Alnus,tree,Betuleae,Betulaceae,Fagales,Hamamelididae,Magnoliopsida,,Magnoliophyta,Spermatophyta,Tracheobionta,Plantae,deciduous leaf,Eudicot,59.74,18.49,59.74,18.49,South-Central,Sweden,Europe,12,Reported value,5,5,,118,159,,fine,50.23,0.0138,3,no,exponential,,,,1.3,N,alnusglutinosa,Alnus glutinosa,Alnus glutinosa,61,66,24,7366,213,-61,274,149,1,160,-28,531,65,26,30,186,84,170,114
